TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Wagner,NEC,26,15,93.0,104.3,0.2117,44.9,49.1,19.1,20.9,34.4,24.8,25.2,47.0,44.7,50.2,30.2,31.5,62.1,-10.3,,,2023,,,,,,,,-11.299999999999995,249.0,,0.0
Wake Forest,ACC,33,19,111.4,101.5,0.7432,54.2,51.6,17.1,17.3,24.8,26.6,32.1,26.7,54.0,51.0,36.4,35.0,69.4,-3.0,,,2023,9.05,112.1,103.1,69.4,-0.012,5.12,-2.32,9.0548,85.0,,0.0
Washington,P12,32,16,103.9,98.3,0.6549,48.8,47.1,19.9,18.4,26.4,34.6,31.7,25.4,50.0,48.6,31.3,29.7,69.1,-3.8,,,2023,5.92,105.3,99.4,69.1,0.037,7.35,-0.7,5.9052,105.0,,0.0
Washington St.,P12,34,17,111.3,98.0,0.8115,50.4,49.8,18.5,16.6,31.5,26.1,28.2,28.4,46.3,50.5,37.3,32.2,64.2,-3.0,,,2023,12.11,111.3,99.2,64.3,-0.079,8.25,4.5,12.1416,67.0,,0.0
Weber St.,BSky,31,18,99.0,101.1,0.4405,50.8,52.8,19.2,19.3,21.0,22.4,33.7,31.7,51.8,51.1,32.8,36.8,65.0,-8.4,,,2023,-1.58,100.1,101.7,65.1,0.064,-0.27,4.86,-1.6056,194.0,,0.0
West Virginia,B12,34,19,117.2,97.5,0.8933,51.5,50.9,18.5,20.9,34.0,29.3,39.4,38.7,50.9,50.8,35.0,34.0,68.4,1.5,R64,9.0,2023,18.82,116.9,98.1,68.5,-0.068,12.45,2.18,18.8472,19.0,-4.0,50.0
Western Carolina,SC,31,18,101.0,107.2,0.3359,49.1,51.0,15.7,15.6,25.5,25.2,33.8,34.1,48.7,51.4,33.1,33.3,67.5,-9.8,,,2023,-5.57,102.4,108.0,67.4,0.042,-3.66,-4.16,-5.5868,233.0,,0.0
Western Illinois,Sum,27,16,100.4,111.8,0.2252,50.1,53.4,15.1,16.4,26.9,26.7,31.4,27.4,51.8,54.6,31.5,33.9,66.6,-10.2,,,2023,,,,,,,,-11.399999999999991,249.0,,0.0
Western Kentucky,CUSA,31,17,103.2,104.0,0.479,49.6,50.7,17.1,18.0,25.9,31.0,32.3,25.6,48.5,48.0,34.4,36.2,67.3,-7.8,,,2023,-0.14,104.9,105.1,67.5,0.052,1.82,-3.94,-0.1608,171.0,,0.0
Western Michigan,MAC,28,8,100.5,116.0,0.1611,48.8,54.8,19.1,14.4,33.0,27.6,27.8,33.1,49.3,54.4,32.1,37.0,65.5,-17.0,,,2023,,,,,,,,-15.5,249.0,,0.0
Wichita St.,Amer,32,17,108.1,98.7,0.7395,50.7,47.5,18.2,16.9,29.1,28.2,30.8,25.9,53.3,45.4,30.9,33.6,66.0,-5.5,,,2023,6.39,106.6,100.2,66.1,-0.049,2.42,-2.39,6.409599999999999,100.0,,0.0
William & Mary,CAA,31,13,99.0,111.6,0.2002,49.4,53.9,18.8,17.0,27.4,29.9,29.2,27.4,46.3,54.3,36.3,35.5,65.0,-14.4,,,2023,,,,,,,,-12.599999999999994,249.0,,0.0
Winthrop,BSth,30,15,107.4,114.4,0.3279,55.1,54.8,20.6,17.4,25.9,34.2,41.6,31.0,53.8,55.5,37.9,35.8,66.8,-11.3,,,2023,-6.43,108.5,114.9,66.7,0.032,-3.4,2.11,-6.4428,240.0,,0.0
Wisconsin,B10,35,20,106.5,94.0,0.8075,48.3,50.2,13.4,18.3,22.6,24.9,25.0,27.5,46.3,51.8,34.2,31.6,63.3,-0.5,,,2023,12.82,106.9,94.1,63.6,0.005,10.57,0.73,12.818,61.0,,0.0
Wofford,SC,30,17,107.8,113.8,0.3511,52.4,54.8,16.3,16.6,28.6,28.7,30.0,26.4,55.1,56.1,32.1,35.3,65.0,-10.0,,,2023,-5.08,108.6,113.7,65.0,0.023,-3.15,-1.57,-5.0892,229.0,,0.0
Wright St.,Horz,31,18,103.4,105.4,0.4449,53.5,50.3,17.3,17.2,26.2,26.6,24.0,27.6,53.9,51.2,35.1,32.6,71.2,-11.0,,,2023,-1.6,104.2,105.8,71.1,-0.081,-6.14,-1.92,-1.5676,195.0,,0.0
Wyoming,MWC,30,9,106.7,105.3,0.536,51.6,53.4,18.2,16.4,24.2,25.3,33.4,28.9,51.3,52.6,34.7,36.4,65.5,-11.7,,,2023,0.54,107.4,106.9,65.6,-0.099,6.3,-0.54,0.5796,160.0,,0.0
Xavier,BE,37,27,118.0,98.5,0.889,55.2,50.3,17.2,16.2,30.8,25.0,31.4,27.0,53.8,48.6,39.0,35.8,70.5,5.4,S16,3.0,2023,19.95,118.5,98.6,70.5,0.005,10.42,3.4,19.948,15.0,1.0,40.0
Yale,Ivy,28,21,107.7,97.8,0.7534,52.8,47.0,16.5,18.4,28.0,23.2,30.6,33.9,52.4,45.7,35.8,32.6,66.0,-2.0,,,2023,12.63,110.1,97.5,66.2,-0.053,0.16,0.1,12.6512,64.0,,0.0
Youngstown St.,Horz,32,24,110.1,109.1,0.5274,54.7,51.3,15.6,17.9,30.6,29.2,29.4,26.2,54.9,51.3,36.2,34.1,68.0,-5.3,,,2023,3.39,112.4,109.0,67.8,-0.023,-6.54,-5.76,3.3992,129.0,,0.0
Abilene Christian,WAC,31,15,100.4,104.3,0.3901,46.8,52.1,17.5,20.7,26.1,30.0,38.7,40.4,45.3,53.0,34.2,33.3,68.5,-11.3,,,2024,-3.86,101.8,105.6,68.6,0.05,0.5,0.49,-3.88,204.0,,0.0
Air Force,MWC,31,9,106.3,111.7,0.3609,53.8,54.2,18.8,17.6,23.8,31.5,29.6,39.1,53.6,53.7,36.1,36.6,61.9,-13.5,,,2024,-7.43,105.9,113.4,61.9,-0.046,2.83,-9.84,-7.4116,260.0,,0.0
Akron,MAC,32,24,105.0,101.6,0.5953,52.0,48.6,17.2,16.6,29.5,25.6,33.6,29.0,54.8,50.7,32.0,30.0,65.7,-4.5,R64,14.0,2024,4.58,106.8,102.2,66.0,0.008,-1.43,6.16,4.5768,121.0,2.0,24.0
Alabama,SEC,32,21,125.2,102.1,0.9126,56.3,49.9,16.0,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,72.5,3.4,F4,4.0,2024,22.96,126.0,103.0,72.6,-0.001,14.71,9.46,22.9604,14.0,0.0,12.0
Alabama A&M,SWAC,33,11,92.1,108.3,0.1347,45.5,49.2,22.5,19.8,31.7,32.7,47.9,46.3,46.6,46.7,28.5,35.7,70.3,-17.6,,,2024,,,,,,,,-16.200000000000003,283.0,,0.0
Alabama St.,SWAC,29,13,91.7,104.9,0.176,41.0,49.1,16.3,20.0,31.7,29.1,28.5,43.4,40.4,47.6,28.0,34.1,67.1,-13.8,,,2024,,,,,,,,-13.200000000000005,283.0,,0.0
Albany,AE,31,13,103.8,110.7,0.3228,50.4,51.4,17.7,17.0,30.6,29.4,29.2,38.9,51.0,54.6,32.9,29.3,73.0,-13.9,,,2024,-5.82,105.3,111.1,73.1,-0.079,-3.32,-3.25,-5.7884,241.0,,0.0
Alcorn St.,SWAC,31,14,105.0,116.5,0.2333,48.9,55.0,17.0,17.2,33.4,30.6,37.4,36.6,48.0,54.0,34.2,37.5,66.6,-11.4,,,2024,,,,,,,,-11.5,283.0,,0.0
American,Pat,31,16,102.0,112.8,0.2382,52.5,53.4,17.3,17.0,27.9,25.6,28.4,29.8,52.8,51.9,34.7,36.9,62.9,-12.4,,,2024,,,,,,,,-10.799999999999995,283.0,,0.0
Appalachian St.,SB,31,27,106.0,98.4,0.7017,52.7,45.1,15.3,14.6,29.7,27.8,32.3,19.8,53.8,43.7,33.6,32.1,66.7,-1.0,,,2024,9.88,108.4,98.6,67.1,0.019,-1.31,0.21,9.8724,83.0,,0.0
Arizona,P12,33,25,121.5,93.6,0.9526,55.0,48.7,16.1,18.1,36.3,23.1,36.7,25.7,54.6,47.8,37.1,33.4,72.0,4.9,S16,2.0,2024,26.55,120.2,93.7,72.2,-0.047,11.12,10.47,26.5688,6.0,0.0,22.0
Arizona St.,P12,32,14,103.1,99.3,0.6075,47.3,51.7,14.8,19.4,21.8,29.7,33.1,31.2,48.6,52.2,30.1,34.0,69.0,-5.6,,,2024,3.92,104.0,100.1,69.2,0.064,10.51,6.0,3.8944,126.0,,0.0
Arkansas,SEC,33,16,109.5,102.7,0.6777,50.5,50.4,16.3,15.1,25.2,29.8,45.3,39.0,51.8,50.1,31.8,33.9,70.6,-4.8,,,2024,5.87,110.0,104.1,70.8,0.046,9.6,2.08,5.8516,107.0,,0.0
Arkansas Pine Bluff,SWAC,27,13,100.9,118.3,0.1374,51.5,52.6,18.0,15.4,22.9,34.0,40.2,32.5,48.4,56.0,36.5,31.4,71.9,-13.3,,,2024,,,,,,,,-17.39999999999999,283.0,,0.0
Arkansas St.,SB,34,18,112.8,109.4,0.5859,51.7,50.4,16.2,14.1,33.9,28.7,32.7,35.7,51.3,49.4,34.9,35.4,68.0,-8.8,,,2024,3.4,113.4,110.0,68.1,-0.022,0.2,2.25,3.4088,132.0,,0.0
Army,Pat,30,10,90.6,108.9,0.1069,47.1,50.3,18.9,16.6,27.0,25.5,25.4,31.6,46.5,50.6,31.8,33.2,63.0,-19.5,,,2024,,,,,,,,-18.30000000000001,283.0,,0.0
Auburn,SEC,34,27,120.7,92.1,0.9573,54.1,43.4,14.9,18.2,32.9,30.3,38.2,41.0,54.9,42.8,35.2,29.8,69.8,5.5,R64,4.0,2024,27.99,120.4,92.4,70.0,-0.08,9.49,1.47,28.022,4.0,-3.0,66.0
Austin Peay,ASun,31,19,107.7,114.3,0.3354,50.7,53.1,13.3,16.3,30.2,31.4,31.8,37.8,48.9,54.1,36.2,34.3,64.2,-10.4,,,2024,-5.92,108.2,114.1,64.8,0.052,-3.32,4.29,-5.9408,242.0,,0.0
BYU,B12,33,23,120.6,99.0,0.9067,55.1,48.0,15.2,16.0,32.8,24.7,25.3,32.1,58.0,48.2,34.8,31.8,69.0,2.9,R64,6.0,2024,19.96,119.8,99.9,69.2,-0.048,9.21,-5.67,19.9792,18.0,-1.0,50.0
Ball St.,MAC,29,15,102.1,109.6,0.3087,50.8,51.3,18.2,16.2,27.3,27.9,38.2,27.6,48.7,50.6,36.1,35.1,66.6,-12.5,,,2024,-7.85,103.0,110.8,67.0,-0.025,-6.34,-5.61,-7.84,263.0,,0.0
Baylor,B12,32,23,122.2,99.9,0.9103,55.6,51.3,17.7,17.1,35.1,27.1,40.5,30.9,53.4,51.9,39.4,33.5,65.7,5.1,R32,3.0,2024,21.9,122.4,100.5,65.8,-0.016,13.44,3.36,21.9064,15.0,1.0,38.0
Bellarmine,ASun,28,8,99.9,111.1,0.2275,49.0,53.9,14.5,14.6,21.8,29.4,21.4,31.9,48.3,55.1,33.6,35.0,65.0,-17.4,,,2024,,,,,,,,-11.199999999999989,283.0,,0.0
Belmont,MVC,32,20,109.1,102.1,0.6819,55.0,51.1,16.7,16.4,21.0,27.5,30.3,27.0,54.5,52.2,37.2,33.0,71.1,-5.2,,,2024,5.31,109.4,104.0,71.3,0.056,2.65,1.36,5.287599999999999,114.0,,0.0
Bethune Cookman,SWAC,31,17,96.6,109.0,0.1999,47.1,49.9,19.9,21.9,29.4,32.9,39.0,48.7,46.9,49.0,31.8,34.3,69.4,-12.4,,,2024,,,,,,,,-12.400000000000006,283.0,,0.0
Binghamton,AE,28,15,101.3,109.9,0.2805,49.4,50.0,18.0,13.3,29.1,25.0,34.3,34.8,51.4,48.4,29.9,35.0,66.5,-10.6,,,2024,-8.98,102.5,111.5,66.3,0.07,-3.78,-4.03,-9.008,281.0,,0.0
Boise St.,MWC,30,22,114.0,97.8,0.8538,51.6,49.8,16.5,16.8,32.5,23.1,36.1,33.1,51.2,52.1,34.8,30.6,66.6,0.9,R68,10.0,2024,15.97,113.4,97.4,66.6,-0.002,9.55,8.08,15.9708,44.0,1.0,36.0
Boston College,ACC,34,19,111.8,102.0,0.7427,52.7,50.4,15.5,16.0,27.3,26.7,25.5,28.4,51.8,49.5,36.1,34.6,67.1,-3.6,,,2024,11.44,113.9,102.4,67.0,-0.017,9.16,-0.74,11.4468,71.0,,0.0
Boston University,Pat,32,16,97.7,108.0,0.2401,47.8,50.0,17.7,16.9,26.6,23.0,30.2,36.2,46.8,48.7,32.8,34.6,65.8,-14.1,,,2024,,,,,,,,-10.299999999999995,283.0,,0.0
Bowling Green,MAC,31,20,101.5,107.0,0.3511,48.0,51.1,16.2,16.1,30.7,25.5,35.2,27.4,50.0,49.0,29.5,36.8,67.5,-9.4,,,2024,-5.57,102.4,107.9,67.8,0.048,-5.56,-5.5,-5.5892,236.0,,0.0
Bradley,MVC,32,22,111.8,98.8,0.8056,55.7,47.6,18.1,18.5,28.5,27.9,27.5,35.7,55.0,46.2,37.7,33.2,66.2,-3.4,,,2024,12.18,112.1,100.0,66.4,-0.036,4.07,2.72,12.1944,64.0,,0.0
Brown,Ivy,30,13,104.1,105.4,0.4655,49.7,51.2,18.3,16.8,31.9,27.3,33.0,32.1,49.2,52.2,33.7,33.1,67.2,-11.7,,,2024,-2.47,104.3,106.7,67.3,-0.01,0.93,0.09,-2.466,187.0,,0.0
Bryant,AE,31,20,100.0,100.6,0.4819,50.7,45.4,15.8,16.7,20.4,30.2,29.9,33.8,51.7,45.0,32.7,30.8,74.1,-7.2,,,2024,-0.91,101.1,102.0,74.2,0.066,-1.6,3.72,-0.9364,170.0,,0.0
Bucknell,Pat,33,14,98.7,106.7,0.2898,50.4,49.5,18.9,16.4,25.9,28.6,29.0,31.5,50.2,50.1,33.8,32.4,64.8,-14.5,,,2024,-8.46,100.2,108.7,64.9,-0.023,-5.98,1.92,-8.450800000000001,273.0,,0.0
Buffalo,MAC,30,4,94.8,114.0,0.1076,47.3,53.9,20.0,15.1,28.3,30.6,26.0,28.7,51.6,53.5,27.5,36.5,68.9,-22.0,,,2024,,,,,,,,-19.200000000000003,283.0,,0.0
Butler,BE,31,18,112.4,98.7,0.8167,51.8,49.9,15.2,16.1,26.2,29.0,27.0,22.5,51.5,50.7,34.8,32.5,68.4,-0.9,,,2024,12.6,113.2,100.6,68.6,-0.027,11.83,2.05,12.6108,61.0,,0.0
Cal Baptist,WAC,31,16,101.2,106.2,0.3651,47.0,49.2,17.6,15.3,32.7,24.9,36.8,30.3,45.7,48.4,32.9,34.3,63.5,-12.0,,,2024,-2.47,103.2,105.7,63.7,-0.045,-1.4,-6.14,-2.4520000000000004,187.0,,0.0
Cal Poly,BW,31,4,93.5,111.5,0.1162,46.0,51.5,18.6,17.3,24.3,33.6,31.3,41.9,44.1,50.8,33.0,35.6,65.7,-23.2,,,2024,,,,,,,,-18.0,283.0,,0.0
Cal St. Bakersfield,BW,30,13,99.7,106.1,0.3302,47.0,50.0,18.3,18.6,32.9,31.2,32.0,46.7,46.6,49.1,32.1,34.3,64.7,-13.7,,,2024,-6.05,101.1,107.2,64.9,-0.035,-1.31,0.4,-6.036,244.0,,0.0
Cal St. Fullerton,BW,30,14,99.1,104.2,0.3599,48.0,49.9,18.1,17.9,24.3,29.6,38.6,35.6,47.7,51.3,32.2,31.8,66.3,-11.6,,,2024,-5.45,100.1,105.5,66.5,0.019,0.09,5.3,-5.4576,232.0,,0.0
Cal St. Northridge,BW,32,19,98.7,104.7,0.3358,48.9,48.3,19.0,18.0,31.1,26.9,37.6,39.5,50.3,47.2,30.0,33.1,72.6,-10.4,,,2024,-5.41,100.1,105.5,72.7,0.051,-3.37,-7.46,-5.430400000000001,230.0,,0.0
California,P12,32,13,107.8,102.7,0.6368,49.2,51.3,16.2,14.7,28.6,26.7,29.2,33.1,48.0,50.0,33.8,35.7,68.4,-7.5,,,2024,4.64,109.0,104.4,68.6,-0.003,8.94,0.57,4.6411999999999995,120.0,,0.0
Campbell,CAA,29,14,100.4,111.8,0.2251,52.0,52.2,18.1,16.4,23.8,31.2,33.7,23.6,52.0,52.9,34.6,34.1,66.3,-13.7,,,2024,,,,,,,,-11.399999999999991,283.0,,0.0
Canisius,MAAC,31,14,99.7,106.8,0.312,49.6,51.2,19.1,16.3,32.8,28.1,27.5,28.0,49.7,51.0,32.9,34.4,67.0,-13.2,,,2024,-8.54,100.1,108.7,66.9,0.026,-3.1,5.19,-8.5504,275.0,,0.0
Central Arkansas,ASun,30,9,96.4,113.6,0.1308,47.5,54.0,18.1,15.4,28.3,31.4,29.3,33.7,45.2,51.9,34.2,37.9,69.1,-18.9,,,2024,,,,,,,,-17.19999999999999,283.0,,0.0
Central Connecticut,NEC,29,20,99.5,108.5,0.2702,50.2,49.6,16.7,17.5,27.6,26.8,33.0,26.7,50.8,48.2,32.8,34.8,66.7,-8.1,,,2024,-7.41,101.0,108.4,67.0,0.049,-10.13,-1.48,-7.4296,259.0,,0.0
Central Michigan,MAC,31,18,95.6,103.1,0.2954,46.8,47.3,17.5,16.2,28.6,30.7,27.4,30.6,47.7,47.7,30.1,31.2,65.3,-8.1,,,2024,-8.46,96.6,105.0,65.1,0.148,-3.62,3.06,-8.519200000000001,273.0,,0.0
Charleston Southern,BSth,27,10,93.6,106.8,0.1802,45.2,50.9,18.1,13.4,27.0,29.0,31.2,33.5,44.1,52.3,31.4,31.9,66.7,-14.1,,,2024,,,,,,,,-13.200000000000005,283.0,,0.0
Charlotte,Amer,30,19,108.6,101.8,0.6783,50.8,48.5,15.5,15.2,26.1,29.0,35.2,31.5,53.2,49.5,31.3,31.1,62.4,-5.0,,,2024,4.65,108.7,104.1,62.5,0.046,2.6,2.6,4.631600000000001,119.0,,0.0
Chattanooga,SC,31,21,109.5,108.3,0.5326,54.8,49.9,17.1,14.5,27.2,28.8,30.9,27.3,56.1,47.9,35.7,35.1,66.8,-6.9,,,2024,2.52,110.4,107.9,67.1,0.027,-2.08,-4.36,2.5092,139.0,,0.0
Chicago St.,ind,27,12,96.6,107.7,0.2234,45.7,53.0,20.5,21.5,32.2,35.7,38.9,36.4,46.1,55.3,29.9,32.5,65.2,-12.4,,,2024,,,,,,,,-11.100000000000009,283.0,,0.0
Cincinnati,B12,34,20,111.2,95.5,0.8521,50.0,47.6,17.4,17.6,37.2,25.6,27.9,29.6,50.8,46.4,32.4,33.3,67.3,-0.7,,,2024,16.47,112.0,95.5,67.5,-0.073,9.25,-4.17,16.4992,39.0,,0.0
Clemson,ACC,32,21,116.7,99.3,0.8647,53.9,48.7,14.9,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34.0,66.2,0.9,E8,6.0,2024,19.44,117.7,98.3,66.4,-0.018,12.09,4.91,19.4472,19.0,-1.0,57.0
Cleveland St.,Horz,33,20,106.3,109.9,0.4068,49.9,51.5,15.0,19.5,34.2,35.2,31.4,38.4,49.7,55.1,33.5,30.5,67.3,-8.7,,,2024,-2.78,106.1,108.9,67.5,0.033,-3.43,-1.07,-2.7931999999999997,194.0,,0.0
Coastal Carolina,SB,29,9,98.3,111.0,0.198,49.4,50.1,19.1,12.7,29.3,30.5,32.5,29.5,50.0,50.6,32.1,33.0,69.3,-17.6,,,2024,,,,,,,,-12.700000000000005,283.0,,0.0
Colgate,Pat,33,25,102.3,101.8,0.5128,53.4,47.2,16.3,16.1,25.0,24.5,27.6,24.5,53.3,48.7,35.7,29.9,66.2,-4.1,R64,14.0,2024,1.5,104.8,103.3,66.4,0.068,-6.51,6.36,1.4728,149.0,2.0,22.0
College of Charleston,CAA,33,27,113.3,105.2,0.7019,52.4,50.6,14.3,16.4,33.5,26.6,26.9,28.3,52.6,50.5,34.8,33.8,70.0,-1.6,R64,13.0,2024,,,,,,,,8.099999999999994,283.0,3.0,0.0
Colorado,P12,34,24,117.2,98.0,0.8866,55.3,49.3,18.1,15.2,32.4,24.0,35.3,28.1,53.6,50.1,39.4,31.9,67.7,1.7,R32,10.0,2024,19.03,118.4,99.3,67.6,0.014,9.34,-1.47,19.0244,24.0,-4.0,25.0
Colorado St.,MWC,32,24,113.8,98.1,0.846,54.6,49.3,14.8,16.9,24.3,27.5,32.6,31.8,57.6,48.5,33.2,34.0,65.8,1.5,R64,10.0,2024,17.02,114.0,97.0,66.1,-0.026,9.3,5.84,17.0304,35.0,-1.0,40.0
Columbia,Ivy,24,13,106.4,109.6,0.4158,52.5,52.8,17.8,17.0,27.9,28.6,29.3,28.5,50.2,54.1,37.4,33.9,68.5,-9.9,,,2024,-5.39,106.7,112.1,68.6,-0.036,-2.61,-7.48,-5.3755999999999995,229.0,,0.0
Connecticut,BE,34,31,127.1,93.6,0.9712,57.1,45.1,14.9,16.2,36.5,26.8,33.3,32.5,58.5,43.7,36.7,31.9,64.6,11.3,Champions,1.0,2024,36.43,127.5,91.1,64.6,0.037,12.42,-3.4,36.4152,1.0,0.0,36.0
Coppin St.,MEAC,29,2,85.1,111.1,0.0445,42.1,51.3,22.9,21.8,27.0,38.6,31.1,38.3,41.9,51.0,28.3,34.5,66.3,-22.9,,,2024,,,,,,,,-26.0,283.0,,0.0
Cornell,Ivy,27,22,111.4,105.2,0.6573,56.5,51.3,17.2,18.5,27.2,31.0,28.8,32.6,61.7,52.4,33.9,33.2,71.5,-1.5,,,2024,7.19,113.4,106.2,71.5,0.024,0.42,0.14,7.180400000000001,102.0,,0.0
Creighton,BE,32,23,120.6,96.5,0.9289,57.5,46.4,15.3,11.2,25.9,24.6,24.5,16.2,60.6,45.7,36.1,32.2,66.9,4.4,S16,3.0,2024,24.22,120.9,96.7,66.8,-0.018,11.96,4.99,24.2272,11.0,0.0,38.0
Dartmouth,Ivy,25,6,93.3,109.2,0.1397,47.6,54.2,19.4,13.4,20.7,24.5,27.8,24.4,48.2,53.2,31.2,37.0,65.0,-15.8,,,2024,,,,,,,,-15.900000000000006,283.0,,0.0
Davidson,A10,30,15,104.7,99.9,0.6331,48.9,49.4,16.3,17.2,26.1,27.8,33.5,32.8,50.8,49.5,30.7,32.8,65.4,-8.7,,,2024,4.28,105.7,101.4,65.7,-0.08,4.21,0.94,4.312,124.0,,0.0
Dayton,A10,31,24,117.4,100.7,0.8547,56.6,47.9,15.8,15.7,26.9,29.0,37.2,21.8,53.7,48.2,40.2,31.7,64.0,2.6,R32,7.0,2024,17.3,117.7,100.4,64.5,0.007,6.88,6.97,17.2972,32.0,1.0,52.0
DePaul,BE,32,3,100.6,110.9,0.2475,48.1,56.5,19.9,14.5,22.0,32.3,33.5,28.4,47.0,56.1,33.5,38.1,67.7,-14.8,,,2024,,,,,,,,-10.300000000000011,283.0,,0.0
Delaware,CAA,32,19,104.3,103.6,0.5186,51.9,48.7,16.0,15.1,27.5,27.9,30.9,27.1,53.2,49.7,33.0,31.3,67.3,-9.1,,,2024,-0.63,105.0,105.6,67.5,-0.014,-3.07,-0.75,-0.6244,165.0,,0.0
Delaware St.,MEAC,31,15,94.6,105.0,0.2313,46.0,50.9,21.0,21.8,33.6,31.4,39.8,36.2,45.8,49.0,31.2,35.8,68.7,-14.0,,,2024,,,,,,,,-10.400000000000006,283.0,,0.0
Denver,Sum,30,17,105.8,115.4,0.2684,51.8,54.7,14.0,14.2,27.3,27.6,35.0,32.0,51.2,54.4,35.1,36.8,70.4,-12.2,,,2024,-7.96,107.8,115.8,70.5,0.018,-3.6,-1.61,-7.9672,265.0,,0.0
Detroit,Horz,32,1,96.4,116.1,0.1049,47.3,55.9,19.4,17.3,25.9,35.2,30.3,31.9,50.4,56.1,28.1,37.1,67.0,-24.8,,,2024,,,,,,,,-19.69999999999999,283.0,,0.0
Drake,MVC,33,28,114.8,100.2,0.8283,54.9,51.0,13.9,17.4,24.2,22.1,32.6,31.0,55.1,51.9,36.5,33.0,67.8,1.7,R64,10.0,2024,14.53,115.1,100.5,68.0,0.051,2.95,-1.34,14.5096,53.0,4.0,35.0
Drexel,CAA,31,20,107.0,103.2,0.6028,50.6,47.8,16.5,13.1,33.6,24.5,30.0,26.7,50.3,48.2,34.1,31.4,64.5,-6.5,,,2024,4.17,108.3,104.1,64.6,-0.035,-2.03,0.36,4.184,125.0,,0.0
Duke,ACC,32,24,120.8,96.8,0.9272,55.2,49.0,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,66.9,3.3,E8,4.0,2024,26.47,121.6,95.2,66.4,-0.064,10.07,-0.04,26.4956,7.0,-2.0,66.0
Duquesne,A10,34,24,106.3,96.1,0.7612,50.1,48.0,17.5,19.5,29.9,30.0,33.1,35.3,49.6,48.4,33.9,31.7,66.3,-1.8,R32,11.0,2024,9.19,107.2,98.0,66.2,0.079,5.68,1.51,9.1584,88.0,5.0,15.0
East Carolina,Amer,32,15,104.7,104.9,0.4929,47.6,51.3,16.3,18.7,32.7,31.0,34.0,32.7,48.1,52.5,31.2,33.1,64.8,-10.8,,,2024,-2.45,104.8,107.2,65.0,-0.002,1.08,-6.5,-2.4492000000000003,186.0,,0.0
East Tennessee St.,SC,33,19,101.8,103.6,0.4482,46.9,50.9,18.1,18.8,35.1,29.4,33.9,36.7,47.1,51.2,31.2,33.7,66.9,-9.7,,,2024,-0.97,103.4,104.4,67.1,0.028,-0.06,0.97,-0.9812,171.0,,0.0
Eastern Illinois,OVC,28,14,95.2,108.6,0.1812,44.8,52.0,15.7,19.7,27.5,28.0,27.2,37.5,43.6,51.1,31.8,35.8,66.5,-13.1,,,2024,,,,,,,,-13.399999999999991,283.0,,0.0
Eastern Kentucky,ASun,28,17,106.8,109.9,0.4197,50.6,49.8,16.1,13.9,33.1,31.0,32.0,29.5,48.8,45.6,36.1,38.7,68.4,-9.4,,,2024,-4.02,107.0,111.0,68.9,0.016,-4.03,3.14,-4.0264,208.0,,0.0
Eastern Michigan,MAC,29,13,96.0,110.4,0.1672,47.9,52.0,17.0,15.7,27.6,31.2,25.0,31.5,48.7,54.7,30.8,31.9,65.3,-14.0,,,2024,,,,,,,,-14.400000000000006,283.0,,0.0
Eastern Washington,BSky,30,21,110.5,110.4,0.5025,57.2,52.8,19.0,16.3,26.4,27.1,39.6,33.5,58.7,51.0,36.8,36.9,70.4,-4.7,,,2024,1.35,112.0,110.7,70.6,0.072,-1.71,8.94,1.3212000000000002,150.0,,0.0
Elon,CAA,30,13,101.1,113.6,0.2068,50.6,53.2,17.8,15.7,28.7,32.8,32.8,29.1,48.8,54.5,35.2,34.2,67.6,-14.0,,,2024,,,,,,,,-12.5,283.0,,0.0
Evansville,MVC,32,16,101.3,105.4,0.3885,50.0,52.8,16.4,16.9,21.6,25.5,29.0,27.9,49.8,52.0,33.7,35.9,68.6,-9.0,,,2024,-3.92,102.1,106.1,68.6,0.071,2.14,-6.06,-3.9484,205.0,,0.0
FIU,CUSA,32,11,99.9,110.1,0.2454,49.7,55.6,18.9,24.1,27.0,37.3,28.4,35.9,49.9,52.9,32.9,40.3,70.2,-16.3,,,2024,-9.1,101.6,110.7,70.3,-0.01,-1.27,-3.01,-9.096,282.0,,0.0
Fairfield,MAAC,33,22,107.3,109.4,0.4446,51.8,52.3,15.5,20.4,28.6,30.7,28.6,26.2,49.9,53.0,36.4,34.0,68.3,-8.0,,,2024,-0.98,108.4,109.4,68.6,0.033,-5.23,-2.59,-0.9932,172.0,,0.0
Fairleigh Dickinson,NEC,30,15,95.5,112.7,0.1294,47.1,52.9,17.2,19.0,27.8,31.2,34.9,32.0,46.7,52.4,31.8,35.7,72.2,-13.8,,,2024,,,,,,,,-17.200000000000003,283.0,,0.0
