TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Columbia,Ivy,26,10,98.7,101.9,0.4071,47.6,49.3,17.8,20.1,29.0,27.0,33.7,42.4,44.5,46.5,35.4,37.3,61.7,-11.7,,,2013,,,,,,,,-3.200000000000003,150.0,,0.0
Connecticut,BE,30,20,108.7,93.9,0.8425,50.0,45.3,18.2,20.1,28.5,36.0,36.9,31.0,49.5,44.4,34.0,31.5,65.3,1.5,,,2013,14.05,109.9,95.9,63.8,0.011,7.49,0.29,14.0456,49.0,,0.0
Coppin St.,MEAC,31,7,92.1,106.5,0.1582,42.6,50.1,21.0,23.3,29.0,39.2,31.2,37.1,39.6,53.4,31.2,29.6,68.7,-18.0,,,2013,,,,,,,,-14.400000000000006,150.0,,0.0
Cornell,Ivy,30,12,98.3,106.6,0.2822,47.4,52.8,19.6,20.6,28.2,28.3,30.7,37.4,46.1,49.8,33.2,38.7,68.2,-11.8,,,2013,,,,,,,,-8.299999999999997,150.0,,0.0
Creighton,MVC,36,28,116.4,95.0,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,R32,7.0,2013,21.75,118.3,96.5,63.8,-0.009,5.73,1.63,21.7536,15.0,-3.0,0.0
Dartmouth,Ivy,27,8,95.1,105.3,0.2359,45.5,50.7,20.5,21.0,28.4,30.9,33.4,43.1,43.5,49.5,33.3,35.5,64.6,-14.1,,,2013,,,,,,,,-10.200000000000005,150.0,,0.0
Davidson,SC,33,25,110.6,98.3,0.7959,53.1,45.3,17.0,18.8,29.0,28.5,38.9,36.4,52.0,44.3,36.6,32.1,65.2,-1.4,R64,14.0,2013,11.36,112.1,100.7,63.9,-0.002,-5.09,6.42,11.3608,66.0,2.0,0.0
Dayton,A10,31,17,111.8,99.4,0.7951,53.0,49.2,21.7,21.0,35.2,30.4,39.7,37.5,51.1,47.4,38.4,35.3,66.4,-4.6,,,2013,11.31,112.7,101.4,64.7,-0.1,3.66,-1.09,11.35,67.0,,0.0
DePaul,BE,32,11,105.6,103.2,0.565,47.4,51.5,19.8,21.5,31.7,35.7,31.7,36.2,48.3,50.4,29.9,36.5,72.8,-9.4,,,2013,,,,,,,,2.3999999999999915,150.0,,0.0
Delaware,CAA,33,19,102.4,102.5,0.4976,46.3,46.5,18.7,15.9,33.1,32.0,42.0,33.0,46.2,44.2,30.9,34.4,67.5,-6.1,,,2013,,,,,,,,-0.0999999999999943,150.0,,0.0
