TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS,COACH,COACH_PREMIUM,EFF_RATIO,SHOOT_EDGE,TURNOVER_EDGE,REBOUND_SHARE,OFF_VERSATILITY,WIN_RATE,SEED_X_DIVERGENCE,COACH_X_DIVERGENCE,TQS_X_SOS,CONF_TOURNEY_WINS,CONF_TOURNEY_CHAMP
Cal Poly,BW,30,16,103.5,104.7,0.4665,48.7,52.9,15.7,19.6,31.2,28.2,33.3,38.6,44.8,52.2,37.1,36.3,59.8,-7.3,,,2013,,,,,,,,-1.2000000000000028,150.0,,0.0,Joe Callero,0.0,0.9885386819484241,-4.199999999999996,3.900000000000002,0.5252525252525253,1235.4299999999998,0.5333333333333333,,,,1.0,0
Cal St. Bakersfield,ind,26,10,95.6,103.1,0.295,46.8,51.5,20.7,21.9,30.1,30.2,35.4,52.4,44.7,51.3,33.7,34.6,66.5,-10.4,,,2013,,,,,,,,-7.5,150.0,,0.0,Rod Barnes,0.0,0.92725509214355,-4.700000000000003,1.1999999999999993,0.4991708126036485,1192.98,0.38461538461538464,,,,0.0,0
Cal St. Fullerton,BW,30,12,104.2,108.8,0.3797,53.6,54.1,18.1,22.8,25.0,37.2,35.5,36.6,51.8,54.8,37.7,35.1,69.9,-13.3,,,2013,,,,,,,,-4.599999999999994,150.0,,0.0,Andy Newman,0.0,0.9577205882352942,-0.5,4.699999999999999,0.40192926045016075,1338.3500000000001,0.4,,,,0.0,0
Cal St. Northridge,BW,29,12,101.2,107.3,0.3378,46.6,54.7,19.1,22.2,35.9,31.0,38.5,39.8,45.7,53.6,33.0,37.7,71.0,-11.7,,,2013,,,,,,,,-6.099999999999994,150.0,,0.0,Bobby Braswell,0.0,0.9431500465983225,-8.100000000000001,3.099999999999998,0.5366218236173392,1270.5,0.41379310344827586,,,,0.0,0
California,P12,33,21,105.4,92.3,0.8211,48.0,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,0.5,R32,12.0,2013,13.11,107.3,94.2,64.9,0.041,8.35,2.12,13.0936,56.0,-2.0,0.0,Mike Montgomery,0.0,1.1419284940411703,3.700000000000003,-2.099999999999998,0.5142405063291139,942.24,0.6363636363636364,-5.1298987149230735,-0.0,109.33156,0.0,0
Campbell,BSth,30,11,96.1,110.1,0.174,48.2,51.6,20.1,20.2,32.7,34.6,30.8,39.2,48.7,52.2,31.2,33.5,66.3,-14.4,,,2013,,,,,,,,-14.0,150.0,,0.0,Robbie Laing,0.0,0.8728428701180745,-3.3999999999999986,0.09999999999999787,0.4858841010401188,960.96,0.36666666666666664,,,,1.0,0
Canisius,MAAC,34,20,109.1,104.3,0.6247,52.7,50.4,19.6,19.8,34.8,33.1,34.3,32.4,48.9,50.4,38.6,33.6,66.5,-5.8,,,2013,5.06,111.2,106.2,65.1,-0.015,-0.12,3.47,5.066,116.0,,0.0,Jim Baron,0.0,1.0460210930009588,2.3000000000000043,0.1999999999999993,0.5125184094256259,1323.98,0.5882352941176471,,,-0.6079199999999999,0.0,0
Central Arkansas,Slnd,28,11,97.0,111.9,0.1622,47.9,50.7,19.8,19.4,33.4,36.6,29.6,40.8,46.4,49.6,34.2,35.7,72.6,-13.0,,,2013,,,,,,,,-14.900000000000006,150.0,,0.0,Corliss Williamson,0.0,0.8668453976764968,-2.8000000000000043,-0.40000000000000213,0.47714285714285715,1012.3200000000002,0.39285714285714285,,,,0.0,0
Central Connecticut,NEC,30,13,100.3,108.6,0.2868,48.6,51.7,17.5,18.9,27.4,35.4,30.1,29.3,46.6,49.9,35.2,36.6,70.7,-11.7,,,2013,,,,,,,,-8.299999999999997,150.0,,0.0,Howie Dickenman,0.0,0.923572744014733,-3.1000000000000014,1.3999999999999986,0.43630573248407645,1059.5200000000002,0.43333333333333335,,,,0.0,0
Central Michigan,MAC,30,10,103.6,111.0,0.3107,48.3,55.0,19.8,19.8,30.9,33.1,39.4,34.8,47.1,54.2,33.2,37.7,65.6,-13.8,,,2013,,,,,,,,-7.400000000000006,150.0,,0.0,Keno Davis,0.0,0.9333333333333332,-6.700000000000003,0.0,0.4828125,1308.0800000000002,0.3333333333333333,,,,0.0,0
Charleston Southern,BSth,29,16,100.6,101.0,0.4886,48.6,48.3,17.9,19.5,33.6,28.9,29.7,29.0,45.6,46.3,35.2,34.4,67.7,-7.7,,,2013,,,,,,,,-0.4000000000000057,150.0,,0.0,,0.0,0.996039603960396,0.30000000000000426,1.6000000000000014,0.5376000000000001,1045.44,0.5517241379310345,,,,0.0,0
Charlotte,A10,33,21,99.8,96.1,0.6092,47.1,46.9,22.3,20.2,36.5,31.1,44.8,39.3,49.2,45.3,26.8,33.3,67.8,-1.6,,,2013,3.9,101.4,97.5,66.4,0.133,2.81,-6.57,3.8468,129.0,,0.0,Alan Major,0.0,1.0385015608740895,0.20000000000000284,-2.1000000000000014,0.5399408284023669,1200.6399999999999,0.6363636363636364,,,10.809508000000001,1.0,0
Chattanooga,SC,30,11,96.5,110.9,0.1682,46.0,53.5,20.0,18.5,33.9,27.8,43.0,32.6,45.9,51.4,30.8,37.6,67.7,-14.8,,,2013,,,,,,,,-14.400000000000006,150.0,,0.0,John Shulman,0.0,0.8701532912533814,-7.5,-1.5,0.5494327390599676,1324.4,0.36666666666666664,,,,0.0,0
Chicago St.,GWC,29,7,90.6,102.1,0.2017,44.4,50.5,21.2,23.5,30.1,33.9,24.6,48.1,41.9,48.6,32.6,36.0,67.1,-15.7,,,2013,,,,,,,,-11.5,150.0,,0.0,Tracy Dildy,0.0,0.8873653281096964,-6.100000000000001,2.3000000000000007,0.4703125,801.96,0.2413793103448276,,,,0.0,0
Cincinnati,BE,34,22,104.5,88.3,0.873,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,1.7,R64,10.0,2013,15.57,105.9,90.4,63.0,-0.012,7.31,-5.68,15.5748,40.0,0.0,0.0,Mick Cronin,0.0,1.1834654586636466,2.9000000000000057,0.9000000000000021,0.5649635036496351,1121.8,0.6470588235294118,0.0,0.0,113.851788,1.0,0
Clemson,ACC,31,13,99.2,93.7,0.6571,47.2,46.8,18.4,20.4,32.0,31.8,33.1,32.9,47.1,44.4,31.7,34.8,62.3,-7.7,,,2013,5.33,101.2,95.8,61.0,-0.111,4.29,-7.53,5.3744000000000005,112.0,,0.0,Brad Brownell,0.0,1.0586979722518677,0.4000000000000057,2.0,0.5015673981191223,1049.27,0.41935483870967744,,,23.056176,0.0,0
Cleveland St.,Horz,29,11,97.9,107.6,0.2531,46.9,52.2,21.2,21.1,31.9,32.5,30.4,45.2,45.1,51.8,33.5,35.4,65.4,-11.0,,,2013,,,,,,,,-9.699999999999989,150.0,,0.0,Gary Waters,0.0,0.9098513011152417,-5.300000000000004,-0.09999999999999787,0.4953416149068322,1018.4,0.3793103448275862,,,,0.0,0
